site,regime_ref,T_amb,HR,LF,P_mesuree,P_ref,delta_P,T_norm,I_ineff_ref,cluster_fcm,u_0,u_1,u_2,cluster_gmm
Site_1,1,35.05,69.3,0.6296,63.25,50.0,0.2651,0.5017,0.369,1,0.04495849688673096,0.8375690346387021,0.11747246847456694,1
Site_1,1,37.81,70.01,0.7468,61.29,50.0,0.2259,0.5938,0.3601,1,0.04157257777764605,0.9031864409963662,0.055240981225987716,1
Site_1,0,17.55,49.03,0.8114,42.57,50.0,-0.1485,0.0,0.0377,0,0.8687803576996048,0.09839819297775901,0.0328214493226361,0
Site_1,0,27.17,50.02,0.8712,54.09,50.0,0.0817,0.2389,0.1461,0,0.8210613442008189,0.15122390217930604,0.027714753619875226,0
Site_1,0,22.63,61.34,0.8836,48.96,50.0,-0.0207,0.0876,0.054,0,0.9883199671298176,0.009180353836492532,0.0024996790336899344,0
Site_1,1,28.62,77.06,0.7141,57.35,50.0,0.147,0.2872,0.2239,1,0.23263026517027569,0.6995659037228812,0.06780383110684314,1
Site_1,1,35.77,80.0,0.7586,56.45,50.0,0.129,0.5256,0.2903,1,0.07408116173343113,0.8820655365387926,0.04385330172777622,1
Site_1,0,26.61,47.65,0.9097,51.54,50.0,0.0307,0.2202,0.1089,0,0.925304205017726,0.061040421346980116,0.013655373635293701,0
Site_1,0,30.2,53.99,0.9744,51.73,50.0,0.0346,0.34,0.1397,0,0.7342563058248455,0.21384639045449236,0.051897303720662175,0
Site_1,0,22.1,54.61,0.8142,50.48,50.0,0.0095,0.07,0.0659,0,0.9186433950855044,0.06468027717765652,0.016676327736839247,0
Site_1,2,41.77,42.03,0.6202,71.62,50.0,0.4323,0.7256,0.5245,2,0.03467905872328731,0.19549927910703435,0.7698216621696784,2
Site_1,2,36.0,42.87,0.6039,77.5,50.0,0.5499,0.5333,0.5133,2,0.05803747913419842,0.2622869661539516,0.6796755547118499,2
Site_1,1,38.54,52.1,0.7701,63.76,50.0,0.2752,0.6178,0.3861,1,0.06592050867254652,0.8321739009437699,0.10190559038368363,1
Site_1,2,47.35,43.53,0.5935,63.24,50.0,0.2648,0.9115,0.5195,2,0.07696092680694715,0.3120722014440897,0.6109668717489631,2
Site_1,0,22.4,40.12,0.7952,47.64,50.0,-0.0472,0.0798,0.0689,0,0.9070982276166542,0.07323830112888757,0.01966347125445819,0
Site_1,2,47.0,64.92,0.5021,68.86,50.0,0.3772,0.9001,0.5844,2,0.032454318674202974,0.1160925594349973,0.8514531218907998,2
Site_1,0,19.4,56.61,0.8465,45.32,50.0,-0.0935,0.0,0.0307,0,0.9188476911157113,0.061552991288140124,0.01959931759614869,0
Site_1,1,38.76,66.43,0.7169,58.07,50.0,0.1613,0.6252,0.3481,1,0.06344535595118168,0.8515093008600065,0.08504534318881168,1
Site_1,0,24.46,54.68,0.8617,47.3,50.0,-0.0541,0.1488,0.0797,0,0.9925713029281771,0.005927346711574003,0.0015013503602487673,0
Site_1,2,43.08,44.39,0.6552,65.56,50.0,0.3112,0.7695,0.4783,2,0.06879290077624227,0.45117756927122626,0.48002952995253145,2
Site_1,2,39.29,25.0,0.6903,75.35,50.0,0.5069,0.6429,0.5151,2,0.07041085581871726,0.3800285447298001,0.5495605994514827,2
Site_1,0,30.09,56.03,0.9567,51.04,50.0,0.0207,0.3364,0.1357,0,0.7579185578817016,0.19632690350038834,0.04575453861790994,0
Site_1,0,20.32,53.45,0.851,48.9,50.0,-0.022,0.0107,0.0336,0,0.9348076824744016,0.05026065583739001,0.014931661688208503,0
Site_1,0,19.99,49.53,0.8074,47.03,50.0,-0.0593,0.0,0.0385,0,0.8902940788023018,0.08391384791822103,0.025792073279477083,0
Site_1,2,42.4,25.0,0.505,75.46,50.0,0.5092,0.7468,0.5895,2,0.0007791392022154038,0.0029567520938312084,0.9962641087039535,2
Site_1,1,26.0,68.15,0.7515,60.52,50.0,0.2103,0.2,0.2144,1,0.366036131945321,0.550278751969737,0.08368511608494199,1
Site_1,2,45.02,50.74,0.4861,81.43,50.0,0.6285,0.8341,0.6775,2,0.02360235799026509,0.07177069408724461,0.9046269479224903,2
Site_1,1,42.93,65.64,0.629,57.96,50.0,0.1591,0.7642,0.4133,1,0.10015153454276902,0.5674076317398135,0.33244083371741745,1
Site_1,2,45.83,49.96,0.6418,69.2,50.0,0.384,0.861,0.5458,2,0.057743935363740756,0.26610368817427604,0.6761523764619832,2
Site_1,0,28.36,45.78,0.8112,47.86,50.0,-0.0429,0.2785,0.1352,0,0.8066666028096564,0.16200428086047025,0.031329116329873306,0
Site_1,2,38.85,38.93,0.3827,71.6,50.0,0.432,0.6283,0.5378,2,0.04006859195975501,0.12699284451947015,0.8329385635207749,2
Site_1,0,20.91,60.52,0.9542,46.26,50.0,-0.0748,0.0303,0.0198,0,0.9240799954995902,0.05719529601177149,0.018724708488638366,0
Site_1,1,30.11,53.39,0.85,61.7,50.0,0.234,0.3369,0.2532,1,0.30718031361243203,0.6165733016050107,0.07624638478255726,1
Site_1,0,21.75,38.71,0.9777,46.96,50.0,-0.0607,0.0582,0.0248,0,0.9141651489323285,0.06478936168348563,0.02104548938418587,0
Site_1,0,24.27,68.0,0.8688,50.21,50.0,0.0041,0.1423,0.0779,0,0.990039851863279,0.008035185205786213,0.0019249629309346828,0
Site_1,2,41.88,56.01,0.4567,76.89,50.0,0.5377,0.7294,0.6059,2,0.008027879445476145,0.02710419661150387,0.96486792394302,2
Site_1,2,40.98,29.32,0.5529,68.99,50.0,0.3799,0.6992,0.5051,2,0.02256395280513345,0.1227968006240491,0.8546392465708174,2
Site_1,1,26.79,50.66,0.6332,67.09,50.0,0.3418,0.2262,0.3064,1,0.18077730441241743,0.6256495532122011,0.19357314237538145,1
Site_1,0,19.22,44.74,0.9225,56.66,50.0,0.1332,0.0,0.0754,0,0.8177506869469522,0.13945939466988336,0.04278991838316436,0
Site_1,1,36.41,66.25,0.676,62.57,50.0,0.2513,0.5471,0.3694,1,0.02375737965677749,0.9263102636596146,0.04993235668360803,1
Site_1,0,26.08,50.51,0.9135,52.43,50.0,0.0486,0.2026,0.1101,0,0.9197086696263508,0.06541902218128885,0.014872308192360307,0
Site_1,0,24.75,49.0,0.8063,46.53,50.0,-0.0694,0.1582,0.0941,0,0.9225934321399436,0.06215900641183257,0.015247561448223876,0
Site_1,0,24.24,58.97,1.0,47.16,50.0,-0.0567,0.1414,0.0495,0,0.8941061201900938,0.08067502689819199,0.025218852911714107,0
Site_1,1,37.2,68.29,0.6387,64.05,50.0,0.281,0.5734,0.3994,1,0.04745728953695604,0.7755395042002495,0.17700320626279448,1
Site_1,1,29.06,45.0,0.7158,56.55,50.0,0.1311,0.3021,0.2216,1,0.2306339630997379,0.7045993806650047,0.06476665623525742,1
Site_1,0,20.04,53.88,0.8823,47.52,50.0,-0.0497,0.0013,0.024,0,0.9398056940893418,0.04586379558254798,0.014330510328110448,0
Site_1,0,27.1,65.57,0.8605,46.99,50.0,-0.0602,0.2366,0.1107,0,0.9390608525156616,0.04962989338729046,0.011309254097047949,0
Site_1,1,36.49,50.37,0.687,60.5,50.0,0.2101,0.5496,0.3495,1,0.020237909682352947,0.9479637158792967,0.0317983744383503,1
Site_1,1,33.35,68.68,0.6692,63.28,50.0,0.2656,0.445,0.3414,1,0.026356081028734903,0.9337727538935283,0.03987116507773684,1
Site_1,0,22.71,45.2,0.7921,40.96,50.0,-0.1809,0.0904,0.0732,0,0.8492179920130183,0.11458637166634524,0.03619563632063652,0
Site_1,0,27.07,43.72,0.9248,49.57,50.0,-0.0087,0.2357,0.0975,0,0.927255745062551,0.05872722168314024,0.014017033254308805,0
Site_1,1,29.23,68.48,0.85,58.15,50.0,0.163,0.3075,0.211,0,0.4704011933597875,0.468523022449081,0.061075784191131466,1
Site_1,2,36.0,58.46,0.4566,70.83,50.0,0.4166,0.5333,0.4828,2,0.046599628837851875,0.1821681731809684,0.7712321979811797,2
Site_1,1,34.16,66.34,0.85,58.7,50.0,0.1741,0.4721,0.2736,1,0.21084821870717377,0.717512155294077,0.07163962599874929,1
Site_1,2,42.89,32.45,0.5751,76.96,50.0,0.5392,0.7631,0.5947,2,0.013938112823711896,0.05592796705849011,0.930133920117798,2
Site_1,0,23.43,55.77,0.8795,51.81,50.0,0.0362,0.1143,0.0804,0,0.9679848861952601,0.025667643862543464,0.006347469942196402,0
Site_1,1,31.9,48.53,0.7235,60.53,50.0,0.2106,0.3968,0.2889,1,0.03295763376653907,0.9466171324499189,0.020425233783542097,1
Site_1,0,23.36,48.3,0.9024,52.44,50.0,0.0488,0.112,0.0807,0,0.9524180738996351,0.037909405419430706,0.00967252068093421,0
Site_1,0,24.93,62.85,0.8956,47.99,50.0,-0.0403,0.1643,0.0784,0,0.9934208846068162,0.005242936687478084,0.001336178705705636,0
Site_1,1,30.85,45.99,0.6613,62.76,50.0,0.2553,0.3616,0.3092,1,0.0699146167122507,0.8571546655780086,0.07293071770974066,1
Site_1,1,32.25,79.79,0.7166,64.2,50.0,0.284,0.4085,0.3275,1,0.034074946355193,0.931701774091211,0.03422327955359598,1
Site_1,0,21.97,41.79,0.8191,42.62,50.0,-0.1477,0.0657,0.0592,0,0.8989292934984842,0.07713470002632318,0.02393600647519264,0
Site_1,2,41.36,51.65,0.5465,73.03,50.0,0.4605,0.7122,0.5472,2,0.005246332721886341,0.02417912049693161,0.9705745467811822,2
Site_1,2,46.47,55.07,0.5412,72.08,50.0,0.4416,0.8822,0.5992,2,0.021999621775011063,0.08267403504475686,0.8953263431802321,2
Site_1,2,39.04,55.64,0.4252,81.03,50.0,0.6206,0.6345,0.6163,2,0.033040069172575876,0.09817205990081476,0.8687878709266093,2
Site_1,0,20.64,47.26,0.9006,42.31,50.0,-0.1537,0.0214,0.0274,0,0.9124151044572548,0.0655521243242997,0.022032771218445615,0
Site_1,0,17.62,47.01,0.8399,38.0,50.0,-0.24,0.0,0.032,0,0.8334839036360506,0.12206103800554068,0.04445505835840884,0
Site_1,1,29.71,55.92,0.7267,54.16,50.0,0.0832,0.3236,0.2054,1,0.2917803693054377,0.6439942427085821,0.06422538798598026,1
Site_1,1,31.4,63.37,0.6949,58.08,50.0,0.1615,0.38,0.2667,1,0.07282543404624844,0.8871196019352597,0.04005496401849174,1
Site_1,1,33.16,59.89,0.7016,63.67,50.0,0.2735,0.4385,0.3362,1,0.018149931721748277,0.9598834150209445,0.021966653257307116,1
Site_1,1,33.42,67.55,0.8073,57.45,50.0,0.1491,0.4474,0.2622,1,0.15616438702236865,0.7926322833840118,0.05120332959361949,1
Site_1,1,29.04,73.12,0.7299,64.46,50.0,0.2893,0.3014,0.2897,1,0.13560804313511873,0.7825367918799817,0.08185516498489943,1
Site_1,1,38.0,53.39,0.6505,53.41,50.0,0.0683,0.6001,0.3106,1,0.1175612560448353,0.7418370498296409,0.1406016941255237,1
Site_1,2,43.02,56.81,0.6265,70.66,50.0,0.4133,0.7672,0.5292,2,0.04005159602373678,0.21719610696076141,0.7427522970155019,2
Site_1,1,31.02,58.47,0.8263,66.99,50.0,0.3397,0.3673,0.3162,1,0.1832876650156846,0.7119131256007445,0.10479920938357097,1
Site_1,2,37.36,63.58,0.4372,83.17,50.0,0.6634,0.5788,0.6136,2,0.04747526769693561,0.1359513846821455,0.8165733476209189,2
Site_1,0,20.68,44.61,0.8875,50.32,50.0,0.0064,0.0228,0.0333,0,0.9451808186811096,0.042363265537321636,0.012455915781568891,0
Site_1,1,26.0,72.06,0.85,57.33,50.0,0.1467,0.2,0.166,0,0.7015105554823365,0.2530668890236104,0.04542255549405318,0
Site_1,1,33.22,75.8,0.552,62.61,50.0,0.2522,0.4408,0.3574,1,0.09513633425672932,0.6288504303522328,0.27601323539103795,1
Site_1,1,26.08,65.13,0.7764,51.44,50.0,0.0288,0.2028,0.1286,0,0.7612656180511423,0.2018274720835589,0.036906909865298765,0
Site_1,0,20.72,43.0,0.7756,40.53,50.0,-0.1893,0.0239,0.0532,0,0.8164642906693826,0.13675960532947756,0.04677610400113981,0
Site_1,0,20.7,58.67,0.9807,46.14,50.0,-0.0772,0.0233,0.012,0,0.8988312467334901,0.07554463986361122,0.025624113402898534,0
Site_1,0,27.9,45.35,0.9069,47.0,50.0,-0.0601,0.2634,0.1108,0,0.9144685231183803,0.068931125816545,0.01660035106507462,0
Site_1,2,44.27,44.23,0.5551,75.62,50.0,0.5123,0.8091,0.6027,2,0.010509502855520016,0.04081667544861232,0.9486738216958677,2
Site_1,2,43.72,32.61,0.5345,78.57,50.0,0.5713,0.7907,0.6269,2,0.011311713036789852,0.04005607653210152,0.9486322104311087,2
Site_1,1,33.49,47.62,0.6632,61.71,50.0,0.2341,0.4495,0.33,1,0.024732617507858896,0.9414300526196084,0.03383732987253261,1
Site_1,1,40.2,61.59,0.85,65.47,50.0,0.3094,0.6732,0.4048,1,0.14339215526040108,0.6733461457319876,0.18326169900761125,1
Site_1,0,19.76,45.46,0.8665,48.09,50.0,-0.0383,0.0,0.0267,0,0.9359952192696414,0.048948977048028176,0.01505580368233048,0
Site_1,1,32.79,59.56,0.7079,66.35,50.0,0.3271,0.4262,0.3548,1,0.04683112394074498,0.8863939979193524,0.06677487813990264,1
Site_1,0,18.48,49.13,0.8619,44.99,50.0,-0.1002,0.0,0.0276,0,0.9237728249004763,0.05766326640625006,0.018563908693273574,0
Site_1,1,36.0,52.36,0.7195,55.72,50.0,0.1143,0.5334,0.2943,1,0.06594389406879042,0.8854076665302159,0.048648439400993705,1
Site_1,1,37.86,71.43,0.7035,58.58,50.0,0.1716,0.5954,0.3449,1,0.04524191853392309,0.8923798209204421,0.06237826054563478,1
Site_1,2,46.26,41.73,0.5733,78.16,50.0,0.5631,0.8752,0.6451,2,0.027271539390435754,0.09419223540382302,0.8785362252057413,2
Site_1,0,24.33,60.73,0.943,45.88,50.0,-0.0823,0.1442,0.0619,0,0.9533221182760777,0.036117088314365345,0.01056079340955697,0
Site_1,1,34.84,58.28,0.6606,62.17,50.0,0.2434,0.4946,0.3505,1,0.023001576143910747,0.9357296256612477,0.041268798194841534,1
Site_1,1,35.01,69.05,0.7353,60.39,50.0,0.2077,0.5005,0.3216,1,0.006659412241603097,0.9873673649528589,0.005973222805538048,1
Site_1,0,30.34,55.27,0.9351,45.43,50.0,-0.0915,0.3448,0.1337,0,0.7969193832687227,0.16155925817004896,0.04152135856122838,0
Site_1,0,21.13,52.23,0.894,50.06,50.0,0.0011,0.0375,0.0348,0,0.9559164427444286,0.034155902465823285,0.009927654789748129,0
Site_1,1,35.57,59.93,0.6932,60.72,50.0,0.2143,0.519,0.3395,1,0.009281725362797233,0.9781728280493415,0.012545446587861251,1
Site_1,0,23.06,47.76,0.8915,45.69,50.0,-0.0861,0.1021,0.0574,0,0.9791885017849886,0.01615819931411405,0.004653298900897306,0
Site_1,2,37.84,56.46,0.4874,74.17,50.0,0.4834,0.5947,0.5282,2,0.019059828133208515,0.07661700613389344,0.904323165732898,2
Site_1,1,37.59,72.26,0.6996,64.41,50.0,0.2881,0.5862,0.3949,1,0.036906835650793404,0.8711013201591506,0.09199184419005593,1
Site_1,1,29.28,59.92,0.8198,53.67,50.0,0.0733,0.3092,0.1773,0,0.5926682014023547,0.3598134486936119,0.0475183499040334,0
Site_1,1,35.91,65.09,0.765,51.16,50.0,0.0233,0.5302,0.243,1,0.2229844460715508,0.6910416587848255,0.08597389514362377,1
Site_1,2,43.66,58.86,0.5116,72.82,50.0,0.4564,0.7887,0.5791,2,0.004075086096684526,0.016071499129085384,0.9798534147742302,2
Site_1,1,38.51,61.4,0.7721,64.34,50.0,0.2869,0.6169,0.3906,1,0.06831832978773682,0.822429782019446,0.1092518881928172,1
Site_1,1,34.96,62.31,0.8328,70.94,50.0,0.4187,0.4986,0.3964,1,0.14541262323035534,0.6778895689471851,0.17669780782245964,1
Site_1,1,34.98,74.99,0.6266,57.91,50.0,0.1582,0.4992,0.3206,1,0.06482473139761936,0.8403381986413578,0.09483706996102291,1
Site_1,2,43.01,39.65,0.6257,62.55,50.0,0.251,0.7671,0.4563,1,0.07473153911719174,0.4747591425683438,0.4505093183144645,2
Site_1,1,33.89,51.1,0.8077,65.38,50.0,0.3076,0.4631,0.339,1,0.0966849622954406,0.827726202341647,0.07558883536291243,1
Site_1,2,38.92,45.51,0.4363,68.34,50.0,0.3669,0.6308,0.4986,2,0.03695122381343085,0.1407008554657897,0.8223479207207794,2
Site_1,0,24.8,52.15,0.7784,46.21,50.0,-0.0758,0.1599,0.1003,0,0.8633688803528042,0.10961923398819098,0.02701188565900476,0
Site_1,0,32.53,60.23,0.8206,46.66,50.0,-0.0668,0.4177,0.1821,0,0.5766745793318355,0.355901644256626,0.06742377641153847,0
Site_1,1,33.47,70.89,0.734,57.81,50.0,0.1563,0.4492,0.2807,1,0.03660529770141364,0.9431207462521407,0.0202739560464456,1
Site_1,0,20.14,47.86,0.8236,45.55,50.0,-0.0889,0.0047,0.0369,0,0.9057625263595,0.0717314988488485,0.02250597479165149,0
Site_1,0,26.65,44.17,0.9635,44.61,50.0,-0.1077,0.2216,0.0849,0,0.8967360406890524,0.07989022702830881,0.02337373228263878,0
Site_1,0,27.16,52.15,0.9114,52.79,50.0,0.0557,0.2388,0.1264,0,0.8758553183299324,0.10232564545102306,0.021819036219044602,0
Site_1,1,32.63,54.73,0.6678,59.94,50.0,0.1988,0.4209,0.3032,1,0.03545204847924332,0.9301157260178128,0.03443222550294389,1
Site_1,2,45.57,58.31,0.4873,83.84,50.0,0.6769,0.8524,0.7055,2,0.03481757035033149,0.0999696924520655,0.865212737197603,2
Site_1,0,16.35,53.71,0.9746,44.11,50.0,-0.1178,0.0,0.0051,0,0.8864576599716847,0.0839789399582332,0.029563400070082096,0
Site_1,1,34.85,64.35,0.8036,56.72,50.0,0.1343,0.4951,0.273,1,0.138444153487859,0.8062158019909137,0.05534004452122729,1
Site_1,1,27.66,56.45,0.654,58.43,50.0,0.1687,0.2554,0.2345,1,0.21953673692426764,0.6766267888176417,0.10383647425809059,1
Site_1,1,43.0,57.82,0.85,52.73,50.0,0.0545,0.7667,0.3229,1,0.23926352267013748,0.5835562901378707,0.1771801871919919,1
Site_1,2,41.5,44.68,0.3231,70.33,50.0,0.4066,0.7168,0.5692,2,0.055650033839347746,0.15471953111026088,0.7896304350503914,2
Site_1,0,20.1,57.23,0.9263,43.43,50.0,-0.1313,0.0034,0.0159,0,0.9100235662686402,0.0670996403271693,0.02287679340419047,0
Site_1,2,39.11,38.62,0.3972,82.68,50.0,0.6537,0.6369,0.6376,2,0.044121289814027846,0.12179446965287255,0.8340842405330996,2
Site_1,2,47.42,46.94,0.444,74.52,50.0,0.4904,0.9141,0.6518,2,0.02700973261232469,0.08259102426725436,0.890399243120421,2
Site_1,1,31.67,64.44,0.7856,62.26,50.0,0.2451,0.389,0.2893,1,0.09841135985792586,0.8550027467432131,0.046585893398861065,1
Site_1,1,38.16,57.47,0.7175,63.16,50.0,0.2632,0.6052,0.3868,1,0.03964546748070357,0.8790871086782313,0.0812674238410652,1
Site_1,0,25.54,49.82,0.8752,49.88,50.0,-0.0025,0.1847,0.0896,0,0.982319569361619,0.014397554042699615,0.0032828765956814583,0
Site_1,0,27.43,65.35,0.8778,55.09,50.0,0.1018,0.2475,0.1569,0,0.7725445188606389,0.19275149681646844,0.03470398432289255,0
Site_1,1,30.91,68.26,0.7276,58.45,50.0,0.169,0.3636,0.2578,1,0.09398582894523701,0.8671663361495591,0.038847834905203854,1
Site_1,1,30.76,62.13,0.6145,57.98,50.0,0.1596,0.3587,0.2745,1,0.1268885980252579,0.7600353352958937,0.1130760666788484,1
Site_1,2,39.41,41.98,0.408,75.81,50.0,0.5162,0.6472,0.5772,2,0.02509900145181669,0.0798304086604059,0.8950705898877774,2
Site_1,0,27.85,68.0,0.8583,47.67,50.0,-0.0466,0.2618,0.12,0,0.9068575937521763,0.07669729440843638,0.01644511183938718,0
Site_1,0,31.54,48.1,0.9337,51.01,50.0,0.0203,0.3848,0.1571,0,0.6811682400278393,0.2629984807486641,0.05583327922349671,0
Site_1,0,19.95,56.91,0.9165,47.89,50.0,-0.0422,0.0,0.0167,0,0.9334273061125874,0.05045088432471055,0.016121809562702046,0
Site_1,1,30.32,52.23,0.6511,61.53,50.0,0.2306,0.3441,0.294,1,0.09027675521412733,0.8267907705456348,0.08293247424023793,1
Site_1,2,43.43,33.26,0.5783,71.98,50.0,0.4396,0.7809,0.5555,2,0.017216435240980564,0.08012762879054515,0.9026559359684743,2
Site_1,1,35.56,51.9,0.7916,59.5,50.0,0.1899,0.5187,0.3087,1,0.0692579137616387,0.8877791333339121,0.042962952904449264,1
Site_1,1,36.19,62.95,0.819,65.98,50.0,0.3197,0.5395,0.3689,1,0.10328465382900223,0.7900873166185984,0.10662802955239936,1
Site_1,0,26.51,56.97,1.0,46.27,50.0,-0.0745,0.2171,0.076,0,0.8676295142148396,0.10166850325819447,0.030701982526965887,0
Site_1,1,36.83,60.29,0.7579,50.0,50.0,0.0,0.5611,0.2448,1,0.23483888923908386,0.6636304256705516,0.1015306850903645,1
Site_1,1,37.88,56.23,0.8017,59.56,50.0,0.1913,0.5959,0.3343,1,0.09666237623334256,0.8245169127423905,0.07882071102426692,1
Site_1,2,43.2,47.24,0.5865,86.09,50.0,0.7218,0.7734,0.6782,2,0.05188846322408585,0.1553798582091664,0.7927316785667478,2
Site_1,0,26.49,47.43,0.8261,53.49,50.0,0.0699,0.2164,0.142,0,0.8073178543803781,0.1641224861116971,0.028559659507924832,0
Site_1,1,29.44,68.21,0.6459,57.99,50.0,0.1597,0.3148,0.2529,1,0.15430301515242126,0.7530104091674734,0.0926865756801053,1
Site_1,0,22.69,63.53,0.8391,42.81,50.0,-0.1437,0.0896,0.0636,0,0.9238956675666521,0.05844197638424392,0.017662356049103833,0
Site_1,0,26.87,60.35,0.9694,51.04,50.0,0.0208,0.229,0.0956,0,0.8730245271912193,0.10079782376151682,0.026177649047263895,0
Site_1,0,21.93,42.31,0.8771,45.67,50.0,-0.0866,0.0642,0.0471,0,0.9668591409009989,0.025544142414916267,0.007596716684084808,0
Site_1,2,45.18,60.89,0.5165,65.77,50.0,0.3154,0.8392,0.5323,2,0.04078523291211079,0.16584320116083773,0.7933715659270515,2
Site_1,2,40.92,49.35,0.6213,65.01,50.0,0.3001,0.6972,0.4548,1,0.0593599884322848,0.4762292447005578,0.46441076686715743,2
Site_1,1,30.73,63.29,0.7219,62.02,50.0,0.2404,0.3577,0.289,1,0.0654912452617936,0.8940158793828347,0.040492875355371785,1
Site_1,0,25.33,47.1,0.8806,47.02,50.0,-0.0597,0.1776,0.0861,0,0.9880189002326458,0.00957140854227854,0.0024096912250756806,0
Site_1,1,30.92,48.3,0.76,60.53,50.0,0.2107,0.3641,0.2702,1,0.097231542463469,0.8626985249848739,0.040069932551657174,1
Site_1,2,43.52,36.85,0.3124,77.41,50.0,0.5482,0.7839,0.6586,2,0.05153923771918904,0.13351107210030344,0.8149496901805074,2
Site_1,1,37.14,80.0,0.7876,64.04,50.0,0.2808,0.5713,0.3688,1,0.06639084014137395,0.8543549357381536,0.07925422412047249,1
Site_1,1,33.44,72.12,0.7151,61.36,50.0,0.2273,0.4481,0.3161,1,0.003925208823961894,0.9925234302227434,0.0035513609532947274,1
Site_1,2,43.35,36.23,0.3884,75.31,50.0,0.5062,0.7783,0.6225,2,0.025364337322157905,0.07595282045078207,0.89868284222706,2
Site_1,2,44.49,46.26,0.6282,62.19,50.0,0.2438,0.8164,0.4698,2,0.08144010166491399,0.43847678699712783,0.4800831113379581,2
Site_1,0,20.73,57.06,0.918,46.43,50.0,-0.0713,0.0242,0.0249,0,0.9441298785678567,0.04240713006794419,0.013462991364199232,0
Site_1,1,27.72,69.98,0.6716,65.66,50.0,0.3132,0.2572,0.2967,1,0.16222020748275975,0.7011220689044605,0.13665772361277972,1
Site_1,0,22.85,48.17,0.9051,55.6,50.0,0.112,0.0948,0.1026,0,0.8691383735424473,0.10407931552385244,0.02678231093370032,0
Site_1,0,21.42,58.01,0.7942,50.03,50.0,0.0006,0.0473,0.058,0,0.8816677141446759,0.0931695541013289,0.025162731753995214,0
Site_1,1,39.22,57.77,0.6484,64.43,50.0,0.2886,0.6406,0.4244,1,0.056150728173476556,0.6785287910442273,0.26532048078229625,1
Site_1,1,35.04,61.99,0.7939,67.29,50.0,0.3457,0.5014,0.3723,1,0.08685028732315106,0.8116788206746498,0.10147089200219915,1
Site_1,0,20.71,55.44,0.8573,50.35,50.0,0.0069,0.0237,0.04,0,0.9382210732316667,0.048016017302761095,0.013762909465572256,0
Site_1,0,16.53,35.41,0.9512,42.98,50.0,-0.1403,0.0,0.0098,0,0.8932488833498436,0.07904924995899867,0.027701866691157716,0
Site_1,2,38.72,26.68,0.4,66.92,50.0,0.3385,0.6241,0.4907,2,0.054001644562672285,0.184353720424124,0.7616446350132037,2
Site_1,0,19.05,49.84,0.9191,56.25,50.0,0.1249,0.0,0.0724,0,0.8279987043955976,0.13176996385071477,0.04023133175368753,0
Site_1,0,21.51,60.11,0.8219,43.73,50.0,-0.1254,0.0503,0.0532,0,0.9105479751140386,0.06840168498502588,0.021050339900935543,0
Site_1,0,22.83,60.96,0.8761,55.3,50.0,0.1061,0.0944,0.1056,0,0.8741529372106974,0.10102520376778025,0.024821859021522286,0
Site_1,0,23.23,61.61,0.9842,45.68,50.0,-0.0864,0.1077,0.0409,0,0.9108724963845107,0.06752388421770342,0.021603619397785854,0
Site_1,1,35.15,59.18,0.7462,58.75,50.0,0.175,0.5052,0.3063,1,0.02479587060934574,0.9572460286356578,0.017958100754996525,1
Site_1,2,45.55,38.25,0.5234,68.04,50.0,0.3607,0.8517,0.5557,2,0.029666713327402613,0.11880942829445282,0.8515238583781445,2
Site_1,2,46.35,48.21,0.4418,76.09,50.0,0.5217,0.8784,0.6539,2,0.021768332942271398,0.0668096744500388,0.9114219926076897,2
Site_1,0,24.05,44.08,0.7866,55.54,50.0,0.1108,0.1351,0.1398,0,0.7173210899863923,0.23567836471894116,0.04700054529466657,0
Site_1,0,23.02,55.85,0.8519,43.9,50.0,-0.1219,0.1006,0.0648,0,0.9496865746187246,0.03893917729955781,0.01137424808171752,0
Site_1,0,18.37,57.45,0.8338,45.29,50.0,-0.0942,0.0,0.0332,0,0.9101213510819437,0.06821279422420944,0.02166585469384695,0
Site_1,0,27.49,64.64,1.0,45.86,50.0,-0.0829,0.2496,0.0874,0,0.8472529509941363,0.1175511965027135,0.03519585250315025,0
Site_1,1,36.96,69.82,0.85,55.23,50.0,0.1046,0.5654,0.275,1,0.23352141673553908,0.6730496489540522,0.09342893431040873,1
Site_1,2,39.38,44.19,0.6072,74.95,50.0,0.4989,0.646,0.5292,2,0.031945583572290416,0.16485333848762704,0.8032010779400824,2
Site_1,2,41.14,29.02,0.5048,79.1,50.0,0.582,0.7045,0.6075,2,0.010206197563672595,0.035823530800174426,0.9539702716361529,2
Site_1,1,33.92,54.93,0.7161,54.41,50.0,0.0883,0.4641,0.2589,1,0.10556520586594731,0.8425865332315715,0.051848260902481146,1
Site_1,0,17.94,41.64,0.8682,38.0,50.0,-0.24,0.0,0.0264,0,0.8444567515294643,0.11391987854324395,0.04162336992729162,0
Site_1,0,20.87,48.33,0.8065,42.33,50.0,-0.1535,0.0289,0.0488,0,0.8721748689782745,0.09646666886729373,0.03135846215443187,0
Site_1,0,25.47,50.66,0.75,46.72,50.0,-0.0655,0.1822,0.1138,0,0.7784823031503635,0.17935854867893566,0.04215914817070082,0
Site_1,2,44.81,47.93,0.5658,72.14,50.0,0.4428,0.8271,0.5756,2,0.01779534283682183,0.07504442438825794,0.9071602327749202,2
